Bölge Müdürlüğü,Şube Kodu,Segment Kodu Tanım,Ürün Aile Adı,Ürün Grup Adı,Ana Ürün Adı,Bireysel Ticari,Ana Skont,Tarih,Kullandirim Tutari (Orj),Kullandirim Tutari - TL,Risk Bakiyesi,Doviz Cinsi
E Bölge Müdürlüğü,IT-592-015,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-10-12,1820000,1820000,4796344,TL
C Bölge Müdürlüğü,IT-592-017,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-10-23,1500000,1500000,4928659,TL
E Bölge Müdürlüğü,IT-592-096,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-11-16,1500000,1500000,7935657,TL
D Bölge Müdürlüğü,IT-592-062,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-11-17,350000,350000,358446,TL
A Bölge Müdürlüğü,IT-592-053,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-12-04,270000,270000,2977978,TL
E Bölge Müdürlüğü,IT-592-096,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2015-12-11,1250000,1250000,41755601,TL
E Bölge Müdürlüğü,IT-592-090,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-04-15,1500000,1500000,1838258,TL
E Bölge Müdürlüğü,IT-592-063,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-04-27,61000,61000,139877,TL
B Bölge Müdürlüğü,IT-592-089,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-01-05,1000000,1000000,2514935,TL
D Bölge Müdürlüğü,IT-592-088,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-04-21,279850,279850,498719,TL
D Bölge Müdürlüğü,IT-592-044,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-04-26,350000,350000,2978458,TL
D Bölge Müdürlüğü,IT-592-033,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-01-21,900000,900000,1754709,TL
A Bölge Müdürlüğü,IT-592-020,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-02-17,500000,500000,521876,TL
E Bölge Müdürlüğü,IT-592-032,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-04-01,2500000,2500000,3271064,TL
C Bölge Müdürlüğü,IT-592-080,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-04-11,800000,800000,1561674,TL
C Bölge Müdürlüğü,IT-592-081,Kobi,Nakdi Krediler,Adatlı Krediler,Rotatif Kredi,T,118110,2016-06-30,2200000,2200000,2962811,TL
